Day,Campaign Name,Platform,Placement,Impressions,Link Clicks,Amount Spent,Results,,,,4週間前の開始日,2週間前の開始日,1週間前の開始日,終了日
2025-09-04,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Marketplace,128,1,149,,,,,,,,
2025-09-04,媒体ALL_性別男性_リード獲得 - コピー,Facebook,In-Stream Video,11,,23,,,,,,,,
2025-09-04,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Instagram Stories,2603,17,8443,,,,,,,,
2025-09-04,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_reels,392,3,1554,,,,,,,,
2025-09-04,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_lead_gen_multi_submit,14,,882,,,,,,,,
2025-09-04,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_reels,392,1,1054,,,,,,,,
2025-09-04,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Instagram Explore,59,,131,,,,,,,,
2025-09-04,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Feed: News Feed,1012,4,4445,,,,,,,,
2025-09-04,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Facebook Stories,182,3,821,,,,,,,,
2025-09-04,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_reels_overlay,44,1,120,,,,,,,,
2025-09-04,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_profile_feed,19,,31,,,,,,,,
2025-09-04,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_notification,52,1,92,,,,,,,,
2025-09-04,媒体ALL_性別男性_リード獲得 - コピー,Audience Network,"Native, Banner and Interstitial",12,1,22,,,,,,,,
2025-09-04,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Feed: Video Feeds,2,,1,,,,,,,,
2025-09-04,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Feed: News Feed,1148,11,3748,,,,,,,,
2025-09-05,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Feed: News Feed,912,11,4359,,,,,,,,
2025-09-05,媒体ALL_性別男性_リード獲得 - コピー,Facebook,search,39,,9,,,,,,,,
2025-09-05,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_explore_grid_home,8,,3,,,,,,,,
2025-09-05,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Instagram Explore,68,1,210,,,,,,,,
2025-09-05,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Feed: News Feed,1243,17,5808,1,,,,,,,
2025-09-05,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Instagram Stories,2364,29,8183,2,,,,,,,
2025-09-05,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Facebook Stories,137,4,493,,,,,,,,
2025-09-05,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_reels_overlay,55,,188,,,,,,,,
2025-09-05,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_reels,292,1,970,,,,,,,,
2025-09-05,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_profile_feed,17,,33,,,,,,,,
2025-09-05,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_notification,64,3,154,,,,,,,,
2025-09-05,媒体ALL_性別男性_リード獲得 - コピー,Audience Network,"Native, Banner and Interstitial",15,,32,,,,,,,,
2025-09-05,媒体ALL_性別男性_リード獲得 - コピー,Facebook,In-Stream Video,9,,41,,,,,,,,
2025-09-05,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Marketplace,99,,120,,,,,,,,
2025-09-05,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_lead_gen_multi_submit,16,1,1034,,,,,,,,
2025-09-05,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_reels,334,2,1187,,,,,,,,
2025-09-06,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_notification,48,,70,,,,,,,,
2025-09-06,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_profile_feed,8,,18,,,,,,,,
2025-09-06,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_reels,404,4,1426,,,,,,,,
2025-09-06,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_reels_overlay,66,1,199,,,,,,,,
2025-09-06,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Facebook Stories,157,1,667,,,,,,,,
2025-09-06,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Feed: News Feed,1494,11,6097,2,,,,,,,
2025-09-06,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Feed: News Feed,1554,9,5191,,,,,,,,
2025-09-06,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Instagram Explore,147,,177,,,,,,,,
2025-09-06,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_explore_grid_home,5,,0,,,,,,,,
2025-09-06,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_lead_gen_multi_submit,14,,684,,,,,,,,
2025-09-06,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_reels,384,4,1651,,,,,,,,
2025-09-06,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Instagram Stories,2513,24,7176,,,,,,,,
2025-09-06,媒体ALL_性別男性_リード獲得 - コピー,Facebook,In-Stream Video,17,,12,,,,,,,,
2025-09-06,媒体ALL_性別男性_リード獲得 - コピー,Audience Network,"Native, Banner and Interstitial",8,1,10,,,,,,,,
2025-09-06,媒体ALL_性別男性_リード獲得 - コピー,Audience Network,Rewarded Video,1,1,1,,,,,,,,
2025-09-06,媒体ALL_性別男性_リード獲得 - コピー,Facebook,search,11,,2,,,,,,,,
2025-09-06,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Feed: Video Feeds,4,1,90,1,,,,,,,
2025-09-06,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Marketplace,139,,210,,,,,,,,
2025-09-07,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_notification,35,,68,,,,,,,,
2025-09-07,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_profile_feed,8,,66,,,,,,,,
2025-09-07,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_reels,489,3,1364,,,,,,,,
2025-09-07,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_reels_overlay,81,,120,,,,,,,,
2025-09-07,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Facebook Stories,298,2,1382,,,,,,,,
2025-09-07,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Feed: News Feed,1085,9,5047,,,,,,,,
2025-09-07,媒体ALL_性別男性_リード獲得 - コピー,Audience Network,"Native, Banner and Interstitial",6,2,151,,,,,,,,
2025-09-07,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Instagram Explore,249,,716,,,,,,,,
2025-09-07,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_explore_grid_home,14,,4,,,,,,,,
2025-09-07,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_lead_gen_multi_submit,10,,1092,,,,,,,,
2025-09-07,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_reels,445,5,2059,,,,,,,,
2025-09-07,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Instagram Stories,2882,35,7447,1,,,,,,,
2025-09-07,媒体ALL_性別男性_リード獲得 - コピー,Facebook,In-Stream Video,49,,49,,,,,,,,
2025-09-07,媒体ALL_性別男性_リード獲得 - コピー,Facebook,search,13,,4,,,,,,,,
2025-09-07,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Feed: Video Feeds,9,,9,,,,,,,,
2025-09-07,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Feed: News Feed,2034,9,5841,,,,,,,,
2025-09-07,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Marketplace,123,,131,,,,,,,,
2025-09-08,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Feed: News Feed,1198,10,6535,1,,,,,,,
2025-09-08,媒体ALL_性別男性_リード獲得 - コピー,Facebook,search,6,,3,,,,,,,,
2025-09-08,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_explore_grid_home,16,,6,,,,,,,,
2025-09-08,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Instagram Explore,215,,173,,,,,,,,
2025-09-08,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Feed: News Feed,1829,5,4449,1,,,,,,,
2025-09-08,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Instagram Stories,2300,21,5832,1,,,,,,,
2025-09-08,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Facebook Stories,191,,765,,,,,,,,
2025-09-08,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_reels_overlay,71,1,109,,,,,,,,
2025-09-08,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_reels,440,3,1859,,,,,,,,
2025-09-08,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_profile_feed,5,,262,,,,,,,,
2025-09-08,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_notification,53,,65,,,,,,,,
2025-09-08,媒体ALL_性別男性_リード獲得 - コピー,Audience Network,"Native, Banner and Interstitial",7,,2,,,,,,,,
2025-09-08,媒体ALL_性別男性_リード獲得 - コピー,Facebook,In-Stream Video,44,,17,,,,,,,,
2025-09-08,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Marketplace,140,,206,,,,,,,,
2025-09-08,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Feed: Video Feeds,4,,3,,,,,,,,
2025-09-08,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_lead_gen_multi_submit,8,,598,,,,,,,,
2025-09-08,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_reels,487,,1962,,,,,,,,
2025-09-09,媒体ALL_性別男性_リード獲得 - コピー,Audience Network,"Native, Banner and Interstitial",8,,4,,,,,,,,
2025-09-09,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_notification,60,1,156,,,,,,,,
2025-09-09,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_profile_feed,8,,4,,,,,,,,
2025-09-09,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_reels,420,2,1751,,,,,,,,
2025-09-09,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_reels_overlay,112,,150,,,,,,,,
2025-09-09,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Facebook Stories,186,3,1186,1,,,,,,,
2025-09-09,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Feed: News Feed,1153,5,4568,,,,,,,,
