Day,Campaign Name,Age,Gender,Impressions,Link Clicks,Amount Spent,Results,,,,4週間前の開始日,2週間前の開始日,1週間前の開始日,終了日
2025-09-04,媒体ALL_性別男性_リード獲得 - コピー,55-64,Female,140,5,849,,,,,,,,
2025-09-04,媒体ALL_性別男性_リード獲得 - コピー,35-44,Unknown,26,,89,,,,,,,,
2025-09-04,媒体ALL_性別男性_リード獲得 - コピー,35-44,Female,437,4,1783,,,,,,,,
2025-09-04,媒体ALL_性別男性_リード獲得 - コピー,25-34,Unknown,22,,81,,,,,,,,
2025-09-04,媒体ALL_性別男性_リード獲得 - コピー,25-34,Male,1060,4,3744,,,,,,,,
2025-09-04,媒体ALL_性別男性_リード獲得 - コピー,25-34,Female,290,4,1008,,,,,,,,
2025-09-04,媒体ALL_性別男性_リード獲得 - コピー,18-24,Unknown,15,,37,,,,,,,,
2025-09-04,媒体ALL_性別男性_リード獲得 - コピー,18-24,Male,523,1,1491,,,,,,,,
2025-09-04,媒体ALL_性別男性_リード獲得 - コピー,18-24,Female,140,1,317,,,,,,,,
2025-09-04,媒体ALL_性別男性_リード獲得 - コピー,35-44,Male,1503,5,4361,,,,,,,,
2025-09-05,媒体ALL_性別男性_リード獲得 - コピー,45-54,Female,259,7,1842,,,,,,,,
2025-09-05,媒体ALL_性別男性_リード獲得 - コピー,65+,Female,64,1,950,,,,,,,,
2025-09-05,媒体ALL_性別男性_リード獲得 - コピー,55-64,Unknown,8,,30,,,,,,,,
2025-09-05,媒体ALL_性別男性_リード獲得 - コピー,55-64,Male,423,3,1832,,,,,,,,
2025-09-05,媒体ALL_性別男性_リード獲得 - コピー,55-64,Female,122,2,860,,,,,,,,
2025-09-05,媒体ALL_性別男性_リード獲得 - コピー,45-54,Unknown,25,1,85,,,,,,,,
2025-09-05,媒体ALL_性別男性_リード獲得 - コピー,45-54,Male,949,11,3753,1,,,,,,,
2025-09-05,媒体ALL_性別男性_リード獲得 - コピー,25-34,Female,199,,693,,,,,,,,
2025-09-05,媒体ALL_性別男性_リード獲得 - コピー,35-44,Unknown,33,3,81,,,,,,,,
2025-09-05,媒体ALL_性別男性_リード獲得 - コピー,35-44,Male,1317,20,4251,1,,,,,,,
2025-09-05,媒体ALL_性別男性_リード獲得 - コピー,25-34,Unknown,19,,59,,,,,,,,
2025-09-05,媒体ALL_性別男性_リード獲得 - コピー,25-34,Male,1058,7,3481,,,,,,,,
2025-09-05,媒体ALL_性別男性_リード獲得 - コピー,18-24,Unknown,15,1,28,,,,,,,,
2025-09-05,媒体ALL_性別男性_リード獲得 - コピー,18-24,Male,470,4,1504,1,,,,,,,
2025-09-05,媒体ALL_性別男性_リード獲得 - コピー,18-24,Female,131,3,424,,,,,,,,
2025-09-05,媒体ALL_性別男性_リード獲得 - コピー,65+,Male,237,3,1387,,,,,,,,
2025-09-05,媒体ALL_性別男性_リード獲得 - コピー,35-44,Female,343,3,1564,,,,,,,,
2025-09-06,媒体ALL_性別男性_リード獲得 - コピー,45-54,Unknown,28,,100,,,,,,,,
2025-09-06,媒体ALL_性別男性_リード獲得 - コピー,45-54,Female,327,4,1731,,,,,,,,
2025-09-06,媒体ALL_性別男性_リード獲得 - コピー,65+,Unknown,6,,40,,,,,,,,
2025-09-06,媒体ALL_性別男性_リード獲得 - コピー,65+,Male,325,4,1783,,,,,,,,
2025-09-06,媒体ALL_性別男性_リード獲得 - コピー,65+,Female,66,4,870,2,,,,,,,
2025-09-06,媒体ALL_性別男性_リード獲得 - コピー,55-64,Unknown,5,,7,,,,,,,,
2025-09-06,媒体ALL_性別男性_リード獲得 - コピー,55-64,Male,587,3,2957,1,,,,,,,
2025-09-06,媒体ALL_性別男性_リード獲得 - コピー,55-64,Female,165,,984,,,,,,,,
2025-09-06,媒体ALL_性別男性_リード獲得 - コピー,45-54,Male,1316,11,3959,,,,,,,,
2025-09-06,媒体ALL_性別男性_リード獲得 - コピー,35-44,Unknown,33,,85,,,,,,,,
2025-09-06,媒体ALL_性別男性_リード獲得 - コピー,35-44,Male,1731,10,4177,,,,,,,,
2025-09-06,媒体ALL_性別男性_リード獲得 - コピー,35-44,Female,402,4,1563,,,,,,,,
2025-09-06,媒体ALL_性別男性_リード獲得 - コピー,25-34,Unknown,22,,73,,,,,,,,
2025-09-06,媒体ALL_性別男性_リード獲得 - コピー,25-34,Male,1119,9,2895,,,,,,,,
2025-09-06,媒体ALL_性別男性_リード獲得 - コピー,25-34,Female,194,3,719,,,,,,,,
2025-09-06,媒体ALL_性別男性_リード獲得 - コピー,18-24,Unknown,17,,70,,,,,,,,
2025-09-06,媒体ALL_性別男性_リード獲得 - コピー,18-24,Male,514,2,1367,,,,,,,,
2025-09-06,媒体ALL_性別男性_リード獲得 - コピー,18-24,Female,117,3,301,,,,,,,,
2025-09-07,媒体ALL_性別男性_リード獲得 - コピー,55-64,Unknown,5,,15,,,,,,,,
2025-09-07,媒体ALL_性別男性_リード獲得 - コピー,55-64,Female,216,3,1413,,,,,,,,
2025-09-07,媒体ALL_性別男性_リード獲得 - コピー,55-64,Male,642,5,2434,,,,,,,,
2025-09-07,媒体ALL_性別男性_リード獲得 - コピー,45-54,Unknown,35,,100,,,,,,,,
2025-09-07,媒体ALL_性別男性_リード獲得 - コピー,65+,Female,80,,460,,,,,,,,
2025-09-07,媒体ALL_性別男性_リード獲得 - コピー,65+,Male,350,5,1992,,,,,,,,
2025-09-07,媒体ALL_性別男性_リード獲得 - コピー,65+,Unknown,4,,3,,,,,,,,
2025-09-07,媒体ALL_性別男性_リード獲得 - コピー,45-54,Female,333,3,1470,,,,,,,,
2025-09-07,媒体ALL_性別男性_リード獲得 - コピー,45-54,Male,1428,12,5140,,,,,,,,
2025-09-07,媒体ALL_性別男性_リード獲得 - コピー,18-24,Unknown,13,,242,,,,,,,,
2025-09-07,媒体ALL_性別男性_リード獲得 - コピー,35-44,Unknown,31,,37,,,,,,,,
2025-09-07,媒体ALL_性別男性_リード獲得 - コピー,25-34,Female,241,1,728,,,,,,,,
2025-09-07,媒体ALL_性別男性_リード獲得 - コピー,18-24,Female,127,2,225,,,,,,,,
2025-09-07,媒体ALL_性別男性_リード獲得 - コピー,35-44,Male,1916,17,4657,,,,,,,,
2025-09-07,媒体ALL_性別男性_リード獲得 - コピー,18-24,Male,645,6,2321,,,,,,,,
2025-09-07,媒体ALL_性別男性_リード獲得 - コピー,25-34,Male,1342,9,2740,1,,,,,,,
2025-09-07,媒体ALL_性別男性_リード獲得 - コピー,25-34,Unknown,31,,67,,,,,,,,
2025-09-07,媒体ALL_性別男性_リード獲得 - コピー,35-44,Female,391,2,1506,,,,,,,,
2025-09-08,媒体ALL_性別男性_リード獲得 - コピー,45-54,Female,252,1,1217,,,,,,,,
2025-09-08,媒体ALL_性別男性_リード獲得 - コピー,65+,Unknown,5,,4,,,,,,,,
2025-09-08,媒体ALL_性別男性_リード獲得 - コピー,65+,Male,330,3,1999,1,,,,,,,
2025-09-08,媒体ALL_性別男性_リード獲得 - コピー,65+,Female,62,,809,,,,,,,,
2025-09-08,媒体ALL_性別男性_リード獲得 - コピー,55-64,Unknown,7,,9,,,,,,,,
2025-09-08,媒体ALL_性別男性_リード獲得 - コピー,55-64,Male,613,6,2771,,,,,,,,
2025-09-08,媒体ALL_性別男性_リード獲得 - コピー,55-64,Female,142,1,827,,,,,,,,
2025-09-08,媒体ALL_性別男性_リード獲得 - コピー,45-54,Unknown,24,,43,,,,,,,,
2025-09-08,媒体ALL_性別男性_リード獲得 - コピー,45-54,Male,1361,12,4350,,,,,,,,
2025-09-08,媒体ALL_性別男性_リード獲得 - コピー,18-24,Unknown,16,,192,,,,,,,,
2025-09-08,媒体ALL_性別男性_リード獲得 - コピー,35-44,Unknown,34,,37,,,,,,,,
2025-09-08,媒体ALL_性別男性_リード獲得 - コピー,25-34,Female,170,1,393,,,,,,,,
2025-09-08,媒体ALL_性別男性_リード獲得 - コピー,35-44,Male,1740,7,4473,2,,,,,,,
2025-09-08,媒体ALL_性別男性_リード獲得 - コピー,18-24,Male,604,4,1305,,,,,,,,
2025-09-08,媒体ALL_性別男性_リード獲得 - コピー,18-24,Female,88,,172,,,,,,,,
2025-09-08,媒体ALL_性別男性_リード獲得 - コピー,25-34,Male,1226,2,2906,,,,,,,,
2025-09-08,媒体ALL_性別男性_リード獲得 - コピー,25-34,Unknown,17,,28,,,,,,,,
2025-09-08,媒体ALL_性別男性_リード獲得 - コピー,35-44,Female,323,3,1311,,,,,,,,
2025-09-09,媒体ALL_性別男性_リード獲得 - コピー,65+,Unknown,4,,10,,,,,,,,
2025-09-09,媒体ALL_性別男性_リード獲得 - コピー,45-54,Female,223,1,1245,,,,,,,,
2025-09-09,媒体ALL_性別男性_リード獲得 - コピー,65+,Male,321,4,2937,1,,,,,,,
2025-09-09,媒体ALL_性別男性_リード獲得 - コピー,65+,Female,52,1,324,,,,,,,,
2025-09-09,媒体ALL_性別男性_リード獲得 - コピー,55-64,Unknown,13,,28,,,,,,,,
2025-09-09,媒体ALL_性別男性_リード獲得 - コピー,55-64,Male,507,3,2223,,,,,,,,
2025-09-09,媒体ALL_性別男性_リード獲得 - コピー,55-64,Female,145,1,1094,,,,,,,,
2025-09-09,媒体ALL_性別男性_リード獲得 - コピー,45-54,Unknown,21,,42,,,,,,,,
2025-09-09,媒体ALL_性別男性_リード獲得 - コピー,45-54,Male,1205,8,3886,,,,,,,,
2025-09-09,媒体ALL_性別男性_リード獲得 - コピー,35-44,Male,1560,5,4876,,,,,,,,
2025-09-09,媒体ALL_性別男性_リード獲得 - コピー,35-44,Unknown,25,,52,,,,,,,,
2025-09-09,媒体ALL_性別男性_リード獲得 - コピー,25-34,Female,177,1,835,,,,,,,,
2025-09-09,媒体ALL_性別男性_リード獲得 - コピー,18-24,Male,592,3,1104,,,,,,,,
2025-09-09,媒体ALL_性別男性_リード獲得 - コピー,18-24,Unknown,18,,48,,,,,,,,
2025-09-09,媒体ALL_性別男性_リード獲得 - コピー,18-24,Female,109,,677,,,,,,,,
2025-09-09,媒体ALL_性別男性_リード獲得 - コピー,25-34,Male,1174,13,3384,,,,,,,,
2025-09-09,媒体ALL_性別男性_リード獲得 - コピー,25-34,Unknown,13,,23,,,,,,,,
2025-09-09,媒体ALL_性別男性_リード獲得 - コピー,35-44,Female,302,2,1617,,,,,,,,
2025-09-10,媒体ALL_性別男性_リード獲得 - コピー,65+,Unknown,1,1,6,,,,,,,,
2025-09-10,媒体ALL_性別男性_リード獲得 - コピー,35-44,Unknown,35,,75,,,,,,,,
2025-09-10,媒体ALL_性別男性_リード獲得 - コピー,65+,Male,265,3,1766,,,,,,,,
2025-09-10,媒体ALL_性別男性_リード獲得 - コピー,65+,Female,54,1,279,,,,,,,,
2025-09-10,媒体ALL_性別男性_リード獲得 - コピー,55-64,Unknown,1,1,7,,,,,,,,
2025-09-10,媒体ALL_性別男性_リード獲得 - コピー,55-64,Male,446,4,1685,,,,,,,,
2025-09-10,媒体ALL_性別男性_リード獲得 - コピー,55-64,Female,153,,1019,,,,,,,,
2025-09-10,媒体ALL_性別男性_リード獲得 - コピー,45-54,Male,1149,3,3684,,,,,,,,
